"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"1194","1975-01-06",NA,"Female",21,"do_22","ano",0
"1195","1973-09-01",NA,"Female",23,"ostatni","ano",0
"1205","1962-02-26",NA,"Female",38,"26+","ne",0
"1206","1962-02-26",NA,"Female",34,"26+","ne",0
"1215","1971-02-22",NA,"Female",25,"ostatni","ano",0
"1220","1970-01-15",NA,"Female",26,"ostatni","ano",0
"1224","1970-09-05",NA,"Female",26,"ostatni","ano",0
"1225","1968-03-04",NA,"Female",28,"26+","ano",0
"1244","1971-09-05",NA,"Female",25,"ostatni","ano",0
"1257","1974-09-09",NA,"Female",26,"ostatni","ano",0
"1258","1974-09-09",NA,"Female",22,"ostatni","ano",0
"1268","1961-09-22",NA,"Female",35,"26+","ano",0
"1273","1968-05-10",NA,"Female",28,"26+","ano",0
"1274","1967-06-21",NA,"Female",29,"26+","ano",0
"1280","1967-10-26",NA,"Female",29,"26+","ano",0
"1288","1974-10-23",NA,"Female",22,"ostatni","ano",0
"1300","1978-02-08",NA,"Female",18,"do_22","ano",0
"1977","1959-07-12",NA,"Female",37,"26+","ne",0
"1978","1952-07-17",NA,"Female",20,"do_22","ne",0
"1979","1971-02-10",NA,"Female",21,"do_22","ne",0
"1980","1848-09-07",1929,"Female",56,"26+","ano",1
"1981","1954-01-17",NA,"Female",42,"26+","ne",0
"1982","1958-06-12",NA,"Female",26,"ostatni","ne",0
"1983","1859-08-28",1938,"Female",45,"26+","ano",1
"1984","1958-01-17",NA,"Female",26,"ostatni","ne",0
"1985","1947-06-19",NA,"Female",25,"ostatni","ne",0
"1986","1973-10-12",NA,"Female",19,"do_22","ne",0
"1987","1966-01-30",NA,"Female",22,"ostatni","ano",0
"1988","1973-12-12",NA,"Female",15,"do_22","ano",0
"1989","1840-10-24",1919,"Female",64,"26+","ano",1
"1990","1947-03-11",NA,"Female",37,"26+","ne",0
"1991","1953-01-13",NA,"Female",23,"ostatni","ano",0
"1992","1954-09-23",NA,"Female",34,"26+","ano",0
"1993","1879-12-07",1967,"Female",25,"ostatni","ne",1
"1994","1930-01-08",2008,"Female",42,"26+","ano",1
"1995","1846-04-19",1916,"Female",58,"26+","ano",1
"1996","1962-07-17",NA,"Male",26,"ostatni","ano",0
"1997","1861-05-10",1919,"Male",43,"26+","ne",1
"1998","1878-02-22",1938,"Male",26,"ostatni","ano",1
"1999","1863-12-19",1953,"Male",41,"26+","ano",1
"2000","1850-11-14",1929,"Male",54,"26+","ne",1
"2001","1861-11-22",1944,"Male",43,"26+","ano",1
"2002","1836-03-11",1908,"Male",68,"26+","ano",1
"2003","1938-05-01",NA,"Male",34,"26+","ne",0
"2004","1849-08-20",1923,"Male",55,"26+","ano",1
"2005","1975-01-09",NA,"Male",21,"do_22","ano",0
"2006","1955-08-30",NA,"Male",37,"26+","ano",0
"2007","1853-11-22",1911,"Male",51,"26+","ne",1
"2008","1979-02-02",NA,"Female",17,"do_22","ne",0
"2009","1855-07-02",1916,"Male",49,"26+","ano",1
"2010","1952-01-02",NA,"Male",20,"do_22","ne",0
"2011","1838-01-10",1924,"Male",66,"26+","ne",1
"2012","1953-10-12",NA,"Male",23,"ostatni","ano",0
"2013","1961-06-19",NA,"Male",23,"ostatni","ne",0
"2014","1956-10-23",NA,"Male",20,"do_22","ano",0
"2015","1889-05-19",1963,"Male",15,"do_22","ano",1
"2016","1833-01-03",1911,"Male",71,"26+","ne",1
"2017","1840-09-19",1904,"Male",64,"26+","ano",1
"2018","1851-08-19",1933,"Male",53,"26+","ne",1
"2019","1874-01-26",1958,"Male",30,"26+","ne",1
"2020","1848-03-10",1918,"Male",56,"26+","ano",1
"2021","1846-07-31",1918,"Male",58,"26+","ne",1
"2022","1953-09-12",NA,"Male",19,"do_22","ano",0
"2023","1841-01-24",1914,"Male",63,"26+","ano",1
"2024","1844-08-15",1927,"Male",60,"26+","ano",1
"2470","1952-02-17",NA,"Female",36,"26+","ne",0
"2471","1976-03-29",NA,"Female",16,"do_22","ano",0
"2472","1976-06-08",NA,"Female",20,"do_22","ano",0
"2473","1954-12-21",NA,"Female",34,"26+","ne",0
"2474","1969-04-09",NA,"Female",27,"26+","ne",0
"2476","1971-09-19",NA,"Female",21,"do_22","ano",0
"2477","1964-03-04",NA,"Female",28,"26+","ne",0
"2478","1963-11-16",NA,"Female",25,"ostatni","ano",0
"2479","1968-12-21",NA,"Female",20,"do_22","ne",0
"2480","1895-11-18",1982,"Female",29,"26+","ne",1
"2481","1963-08-22",NA,"Female",29,"26+","ne",0
"2482","1963-08-22",NA,"Female",33,"26+","ne",0
"2483","1896-05-06",1980,"Female",28,"26+","ano",1
"2484","1882-09-01",1955,"Female",18,"do_22","ne",1
"2485","1879-11-02",1965,"Female",21,"do_22","ano",1
"2486","1964-05-12",NA,"Female",28,"26+","ne",0
"2487","1973-12-02",NA,"Female",23,"ostatni","ano",0
"2488","1901-06-26",1982,"Female",23,"ostatni","ne",1
"2489","1962-07-04",NA,"Female",26,"ostatni","ano",0
"2490","1965-12-24",NA,"Female",27,"26+","ne",0
"2491","1961-03-21",NA,"Female",35,"26+","ne",0
"2492","1886-12-20",1974,"Female",38,"26+","ano",1
"2493","1905-10-06",1998,"Female",19,"do_22","ano",1
"2494","1970-04-29",NA,"Male",26,"ostatni","ano",0
"2495","1875-09-29",1947,"Male",29,"26+","ano",1
"2496","1870-09-19",1956,"Male",34,"26+","ne",1
"2497","1971-02-15",NA,"Male",21,"do_22","ne",0
"2498","1972-02-22",NA,"Male",20,"do_22","ne",0
"2499","1868-02-09",1950,"Male",36,"26+","ne",1
"2500","1970-08-17",NA,"Male",22,"ostatni","ne",0
"2501","1874-03-23",1949,"Male",30,"26+","ne",1
"2502","1879-07-05",1945,"Male",25,"ostatni","ne",1
"2503","1860-02-28",1932,"Male",40,"26+","ano",1
"2504","1881-03-04",1952,"Male",23,"ostatni","ne",1
"2505","1963-05-24",NA,"Male",25,"ostatni","ano",0
"2506","1878-04-21",1912,"Male",26,"ostatni","ne",1
"2507","1881-08-16",1952,"Male",23,"ostatni","ano",1
"2508","1961-08-09",NA,"Male",27,"26+","ano",0
"2509","1880-03-31",1956,"Male",24,"ostatni","ne",1
"2510","1972-11-25",NA,"Male",24,"ostatni","ne",0
"2511","1894-06-28",1981,"Male",30,"26+","ano",1
"2512","1874-03-25",1935,"Male",30,"26+","ne",1
"2513","1965-05-24",NA,"Male",27,"26+","ne",0
"2514","1880-11-10",1960,"Male",24,"ostatni","ne",1
"2515","1875-12-20",1936,"Male",29,"26+","ne",1
"2516","1885-02-07",1946,"Male",19,"do_22","ano",1
"2517","1965-12-05",NA,"Male",27,"26+","ne",0
"2518","1881-06-19",1948,"Male",23,"ostatni","ano",1
"2519","1960-08-03",NA,"Male",28,"26+","ano",0
"2520","1877-08-17",1923,"Male",27,"26+","ano",1
"2521","1872-05-26",1941,"Male",32,"26+","ne",1
"2522","1967-07-31",NA,"Male",21,"do_22","ne",0
"2523","1879-03-12",1967,"Male",33,"26+","ne",1
"2524","1968-11-26",NA,"Male",24,"ostatni","ne",0
"2525","1965-10-05",NA,"Male",31,"26+","ne",0
"2526","1903-03-20",1959,"Male",21,"do_22","ano",1
"2527","1878-04-16",1978,"Male",26,"ostatni","ne",1
"2528","1971-08-12",NA,"Male",21,"do_22","ne",0
"2529","1872-07-28",1928,"Male",32,"26+","ne",1
"2531","1963-05-01",NA,"Male",25,"ostatni","ano",0
"2532","1876-10-22",1913,"Male",28,"26+","ne",1
"2533","1872-12-24",1927,"Male",32,"26+","ano",1
"2534","1881-09-21",1952,"Male",23,"ostatni","ne",1
"2535","1973-05-28",NA,"Male",23,"ostatni","ne",0
"2536","1871-03-22",1947,"Male",33,"26+","ne",1
"2537","1874-09-07",1951,"Male",30,"26+","ne",1
"2538","1894-06-13",1973,"Male",30,"26+","ne",1
"2539","1969-06-20",NA,"Male",27,"26+","ne",0
"2540","1876-11-27",1941,"Male",28,"26+","ano",1
"2541","1872-08-02",1952,"Male",32,"26+","ano",1
"2542","1876-10-15",1965,"Male",28,"26+","ne",1
"2543","1891-01-29",1968,"Male",33,"26+","ano",1
"2544","1879-12-19",1961,"Male",25,"ostatni","ano",1
"2545","1963-09-01",NA,"Male",33,"26+","ne",0
"2899","1972-10-08",NA,"Male",20,"do_22","ne",0
"2900","1969-11-15",NA,"Male",23,"ostatni","ne",0
"2901","1975-02-06",NA,"Male",21,"do_22","ano",0
"2902","1974-11-07",NA,"Male",22,"ostatni","ano",0
"2903","1974-10-29",NA,"Male",22,"ostatni","ano",0
"2904","1972-05-03",NA,"Male",20,"do_22","ne",0
"2905","1973-07-23",NA,"Male",19,"do_22","ne",0
"2906","1971-01-08",NA,"Male",21,"do_22","ne",0
"2907","1976-08-03",NA,"Male",20,"do_22","ano",0
"2908","1975-06-28",NA,"Male",21,"do_22","ano",0
"2909","1971-01-02",NA,"Male",21,"do_22","ne",0
"2910","1975-07-29",NA,"Male",21,"do_22","ano",0
"2911","1971-03-03",NA,"Male",21,"do_22","ne",0
"2912","1975-09-16",NA,"Male",21,"do_22","ano",0
"2913","1970-12-15",NA,"Male",22,"ostatni","ne",0
"2914","1974-05-15",NA,"Male",22,"ostatni","ano",0
"2915","1971-07-20",NA,"Male",21,"do_22","ne",0
"2916","1975-04-25",NA,"Male",21,"do_22","ano",0
"2917","1972-08-07",NA,"Male",20,"do_22","ne",0
"2918","1974-12-14",NA,"Male",22,"ostatni","ano",0
"2919","1975-12-02",NA,"Male",21,"do_22","ano",0
"2920","1975-12-13",NA,"Male",21,"do_22","ano",0
"2921","1975-05-26",NA,"Male",21,"do_22","ano",0
"2922","1974-10-28",NA,"Male",22,"ostatni","ano",0
"2923","1973-12-03",NA,"Male",23,"ostatni","ano",0
"2924","1970-10-13",NA,"Male",22,"ostatni","ne",0
"2925","1974-01-11",NA,"Male",22,"ostatni","ano",0
"2926","1971-07-30",NA,"Male",21,"do_22","ne",0
"2927","1971-01-19",NA,"Male",21,"do_22","ne",0
"2928","1974-12-20",NA,"Male",22,"ostatni","ano",0
"2929","1976-02-08",NA,"Male",20,"do_22","ano",0
"2930","1971-06-25",NA,"Male",21,"do_22","ne",0
"2931","1971-06-25",NA,"Male",21,"do_22","ne",0
"2932","1972-11-04",NA,"Male",20,"do_22","ne",0
"2933","1970-01-16",NA,"Male",22,"ostatni","ne",0
"2934","1971-05-18",NA,"Male",21,"do_22","ne",0
"2935","1976-08-22",NA,"Male",20,"do_22","ano",0
"2936","1974-12-18",NA,"Male",22,"ostatni","ano",0
"2937","1970-09-03",NA,"Male",22,"ostatni","ne",0
"2938","1970-09-25",NA,"Male",22,"ostatni","ne",0
"4569","1968-08-31",NA,"Female",28,"26+","ano",0
"4590","1967-05-25",NA,"Female",29,"26+","ano",0
"4591","1967-05-25",NA,"Female",33,"26+","ano",0
"4595","1962-11-10",NA,"Female",22,"ostatni","ano",0
"4600","1957-02-25",NA,"Female",19,"do_22","ano",0
"4602","1965-03-16",NA,"Female",23,"ostatni","ano",0
"4614","1968-11-22",NA,"Female",24,"ostatni","ano",0
"4634","1963-04-14",NA,"Female",25,"ostatni","ano",0
"4638","1959-08-22",NA,"Female",25,"ostatni","ano",0
"4642","1967-06-04",NA,"Female",25,"ostatni","ano",0
"4652","1962-11-02",NA,"Female",30,"26+","ano",0
"4657","1961-11-01",NA,"Female",23,"ostatni","ano",0
"4665","1955-01-10",NA,"Female",21,"do_22","ano",0
"4666","1964-07-19",NA,"Female",20,"do_22","ano",0
"4668","1964-04-21",NA,"Female",24,"ostatni","ano",0
"4681","1964-06-13",NA,"Female",24,"ostatni","ano",0
"4686","1967-04-27",NA,"Female",21,"do_22","ano",0
"4701","1955-02-10",NA,"Female",21,"do_22","ano",0
"4705","1952-06-14",2016,"Female",24,"ostatni","ano",1
"4706","1961-11-22",NA,"Female",23,"ostatni","ano",0
"4717","1962-12-03",NA,"Female",30,"26+","ano",0
"4726","1969-07-28",NA,"Female",23,"ostatni","ano",0
"4760","1962-06-07",NA,"Female",22,"ostatni","ano",0
"4768","1972-07-07",NA,"Female",24,"ostatni","ano",0
"4769","1955-09-10",2007,"Female",21,"do_22","ano",1
"4774","1958-07-01",NA,"Female",18,"do_22","ano",0
"4778","1965-09-02",NA,"Female",23,"ostatni","ano",0
"4780","1973-10-06",NA,"Female",23,"ostatni","ano",0
"4785","1954-11-18",NA,"Female",22,"ostatni","ano",0
"4791","1965-09-19",NA,"Female",23,"ostatni","ano",0
"4792","1966-07-29",NA,"Female",22,"ostatni","ano",0
"4793","1971-12-17",NA,"Female",25,"ostatni","ano",0
"4794","1962-12-01",NA,"Female",22,"ostatni","ano",0
"4795","1968-03-06",NA,"Female",28,"26+","ano",0
"4797","1957-11-23",NA,"Female",27,"26+","ano",0
"4800","1955-03-26",NA,"Female",21,"do_22","ano",0
"4805","1964-01-03",NA,"Female",20,"do_22","ano",0
"4815","1962-05-17",NA,"Female",22,"ostatni","ano",0
"4829","1958-11-14",NA,"Female",26,"ostatni","ano",0
"4833","1953-10-01",NA,"Female",23,"ostatni","ano",0
"4836","1967-04-04",NA,"Female",25,"ostatni","ano",0
"4867","1955-06-14",NA,"Female",21,"do_22","ano",0
"4871","1953-05-29",NA,"Female",23,"ostatni","ano",0
"4892","1953-01-20",NA,"Female",23,"ostatni","ano",0
"4907","1970-05-04",NA,"Female",26,"ostatni","ano",0
"4910","1967-12-11",NA,"Female",29,"26+","ano",0
"4921","1971-03-25",NA,"Female",25,"ostatni","ano",0
"4952","1965-12-12",NA,"Female",23,"ostatni","ano",0
"4957","1959-08-12",NA,"Female",25,"ostatni","ano",0
"4995","1964-11-23",NA,"Male",20,"do_22","ano",0
"5006","1967-01-08",NA,"Male",21,"do_22","ano",0
"5022","1955-10-05",NA,"Male",21,"do_22","ano",0
"5023","1938-12-19",NA,"Male",22,"ostatni","ano",0
"5028","1968-08-01",NA,"Male",20,"do_22","ano",0
"5045","1909-10-15",1998,"Male",27,"26+","ano",1
"5050","1951-12-03",NA,"Male",21,"do_22","ano",0
"5052","1921-01-15",1998,"Male",27,"26+","ano",1
"5053","1963-02-20",NA,"Male",29,"26+","ano",0
"5054","1923-03-31",1993,"Male",25,"ostatni","ano",1
"5055","1941-04-13",2002,"Male",23,"ostatni","ano",1
"5058","1943-09-05",2011,"Male",25,"ostatni","ano",1
"5068","1927-12-02",2007,"Male",21,"do_22","ano",1
"5069","1922-04-19",1970,"Male",26,"ostatni","ano",1
"5073","1937-07-24",2013,"Male",23,"ostatni","ano",1
"5096","1956-12-07",NA,"Male",36,"26+","ano",0
"5099","1915-10-01",1974,"Male",21,"do_22","ano",1
"5128","1926-08-11",2017,"Male",26,"ostatni","ano",1
"5129","1937-04-26",2012,"Male",23,"ostatni","ano",1
"5134","1927-03-11",2016,"Male",21,"do_22","ano",1
"5137","1934-07-29",NA,"Male",22,"ostatni","ano",0
"5140","1943-07-28",NA,"Male",21,"do_22","ano",0
"5147","1951-12-03",NA,"Male",21,"do_22","ano",0
"5151","1940-09-14",NA,"Male",24,"ostatni","ano",0
"5154","1954-08-20",NA,"Male",22,"ostatni","ano",0
"5159","1952-02-24",NA,"Male",20,"do_22","ano",0
"5167","1934-08-02",NA,"Male",22,"ostatni","ano",0
"5168","1941-11-01",NA,"Male",23,"ostatni","ano",0
"5183","1919-09-24",1988,"Male",29,"26+","ano",1
"5184","1955-08-15",NA,"Male",21,"do_22","ano",0
"5228","1944-05-15",NA,"Male",24,"ostatni","ano",0
"5236","1968-04-22",NA,"Male",20,"do_22","ano",0
"5238","1951-07-28",NA,"Male",21,"do_22","ano",0
"5251","1941-10-16",NA,"Male",23,"ostatni","ano",0
"5278","1955-02-28",NA,"Male",21,"do_22","ano",0
"5279","1930-03-20",NA,"Male",26,"ostatni","ano",0
"5283","1936-01-21",2012,"Male",28,"26+","ano",1
"5284","1948-09-12",NA,"Male",24,"ostatni","ano",0
"5285","1954-09-09",NA,"Male",22,"ostatni","ano",0
"5299","1943-08-09",2014,"Male",25,"ostatni","ano",1
"5328","1940-11-21",NA,"Male",20,"do_22","ano",0
"5340","1962-06-22",NA,"Male",30,"26+","ano",0
"5382","1932-09-13",NA,"Male",24,"ostatni","ano",0
"5384","1962-08-05",NA,"Male",22,"ostatni","ano",0
"5405","1962-02-02",NA,"Male",22,"ostatni","ano",0
"5411","1952-07-18",NA,"Male",20,"do_22","ano",0
"5412","1931-09-14",2017,"Male",25,"ostatni","ano",1
"5413","1956-02-09",NA,"Male",20,"do_22","ano",0
"5414","1911-04-01",1993,"Male",25,"ostatni","ano",1
"5415","1940-02-11",2013,"Male",28,"26+","ano",1
"5419","1928-11-27",2005,"Male",24,"ostatni","ano",1
"5455","1907-10-07",1984,"Male",29,"26+","ano",1
"5460","1926-01-17",2000,"Male",26,"ostatni","ano",1
"5484","1965-12-17",NA,"Male",23,"ostatni","ano",0
"5487","1926-10-07",1995,"Male",22,"ostatni","ano",1
"5489","1955-04-24",NA,"Male",21,"do_22","ano",0
"5511","1934-01-12",NA,"Male",22,"ostatni","ano",0
"5516","1972-07-18",NA,"Male",24,"ostatni","ano",0
"5525","1965-09-29",NA,"Male",23,"ostatni","ano",0
"5526","1949-04-22",NA,"Male",19,"do_22","ano",0
"5528","1942-04-15",2011,"Male",22,"ostatni","ano",1
"5533","1952-01-26",NA,"Male",20,"do_22","ano",0
"5542","1972-10-05",NA,"Male",24,"ostatni","ano",0
"5545","1931-07-19",2012,"Male",21,"do_22","ano",1
"5550","1946-12-20",NA,"Male",22,"ostatni","ano",0
"5551","1930-06-20",2017,"Male",22,"ostatni","ano",1
"5556","1956-12-13",NA,"Male",20,"do_22","ano",0
"5562","1938-10-11",2017,"Male",22,"ostatni","ano",1
"5566","1941-10-31",NA,"Male",23,"ostatni","ano",0
"5569","1932-06-20",2014,"Male",24,"ostatni","ano",1
"5580","1959-08-14",NA,"Male",33,"26+","ano",0
"5581","1910-08-05",1997,"Male",26,"ostatni","ano",1
"5582","1952-02-27",2016,"Male",20,"do_22","ano",1
"5583","1932-05-25",NA,"Male",24,"ostatni","ano",0
"5584","1951-12-18",NA,"Male",21,"do_22","ano",0
"5585","1926-07-14",2014,"Male",22,"ostatni","ano",1
"5586","1963-02-17",NA,"Male",21,"do_22","ano",0
"5588","1951-06-27",NA,"Male",21,"do_22","ano",0
"5618","1928-11-10",2000,"Male",24,"ostatni","ano",1
"5619","1932-12-24",2016,"Male",28,"26+","ano",1
"5620","1931-09-23",1996,"Male",21,"do_22","ano",1
"5621","1931-06-23",2014,"Male",21,"do_22","ano",1
"5638","1943-02-09",NA,"Male",25,"ostatni","ano",0
"5640","1962-01-04",NA,"Male",22,"ostatni","ano",0
"5644","1910-02-24",1981,"Male",26,"ostatni","ano",1
"5652","1963-05-17",NA,"Male",21,"do_22","ano",0
"5685","1954-05-24",NA,"Male",22,"ostatni","ano",0
"5687","1924-12-23",2013,"Male",24,"ostatni","ano",1
"5696","1969-08-17",NA,"Male",23,"ostatni","ano",0
"5697","1955-02-10",NA,"Male",21,"do_22","ano",0
"5720","1930-01-14",NA,"Male",22,"ostatni","ano",0
"5752","1929-09-07",2016,"Male",23,"ostatni","ano",1
"5758","1910-01-07",1999,"Male",26,"ostatni","ano",1
"5760","1940-03-30",NA,"Male",20,"do_22","ano",0
"5762","1923-07-11",2015,"Male",25,"ostatni","ano",1
"5780","1965-09-09",NA,"Male",23,"ostatni","ano",0
"5784","1963-07-24",NA,"Male",29,"26+","ano",0
"5786","1966-05-17",NA,"Male",22,"ostatni","ano",0
"5818","1954-03-19",NA,"Male",22,"ostatni","ano",0
"5823","1927-06-30",NA,"Male",25,"ostatni","ano",0
"5825","1938-12-24",2012,"Male",26,"ostatni","ano",1
"5829","1952-05-26",NA,"Male",20,"do_22","ano",0
"5848","1965-05-27",NA,"Male",31,"26+","ano",0
"5856","1912-12-20",1995,"Male",24,"ostatni","ano",1
"5881","1963-07-30",NA,"Male",21,"do_22","ano",0
"5882","1942-03-19",NA,"Male",22,"ostatni","ano",0
"5920","1972-03-06",NA,"Male",24,"ostatni","ano",0
"5927","1963-01-21",NA,"Male",33,"26+","ano",0
"5973","1968-07-23",NA,"Male",28,"26+","ano",0
"5993","1961-06-14",NA,"Male",23,"ostatni","ano",0
"6009","1911-03-05",1963,"Male",25,"ostatni","ano",1
"6010","1965-09-25",NA,"Male",27,"26+","ano",0
"6011","1926-10-20",1965,"Male",26,"ostatni","ano",1
"6014","1919-06-23",2011,"Male",29,"26+","ano",1
"6051","1913-10-09",1996,"Male",23,"ostatni","ano",1
"6062","1950-03-29",NA,"Male",22,"ostatni","ano",0
"6067","1968-03-31",NA,"Male",20,"do_22","ano",0
"6070","1917-09-29",1999,"Male",31,"26+","ano",1
"6083","1965-06-30",NA,"Male",23,"ostatni","ano",0
"6096","1962-07-22",NA,"Male",22,"ostatni","ano",0
"6097","1938-11-24",NA,"Male",22,"ostatni","ano",0
"6099","1965-08-06",NA,"Male",23,"ostatni","ano",0
"6100","1927-04-26",NA,"Male",21,"do_22","ano",0
"6113","1923-09-14",2012,"Male",25,"ostatni","ano",1
"6127","1934-02-12",NA,"Male",22,"ostatni","ano",0
"6161","1945-02-10",NA,"Male",23,"ostatni","ano",0
"6168","1910-02-14",1965,"Male",26,"ostatni","ano",1
"6171","1948-12-15",NA,"Male",20,"do_22","ano",0
"6188","1954-03-21",NA,"Male",22,"ostatni","ano",0
"6194","1935-09-27",NA,"Male",29,"26+","ano",0
"6197","1908-09-13",1991,"Male",28,"26+","ano",1
"6200","1944-05-05",2000,"Male",24,"ostatni","ano",1
"6228","1936-10-05",NA,"Male",24,"ostatni","ano",0
"6229","1965-07-16",NA,"Male",23,"ostatni","ano",0
"6230","1967-11-29",NA,"Male",21,"do_22","ano",0
"6244","1946-10-06",1990,"Male",22,"ostatni","ano",1
"6253","1962-03-26",NA,"Male",30,"26+","ano",0
"6268","1913-08-23",2000,"Male",23,"ostatni","ano",1
"6294","1964-06-09",2009,"Male",20,"do_22","ano",1
"6304","1933-04-03",NA,"Male",23,"ostatni","ano",0
"6322","1962-04-09",NA,"Male",22,"ostatni","ano",0
"6376","1930-08-29",1976,"Male",26,"ostatni","ano",1
"6392","1938-05-28",NA,"Male",22,"ostatni","ano",0
"6394","1909-07-05",1992,"Male",27,"26+","ano",1
"6395","1946-11-16",NA,"Male",22,"ostatni","ano",0
"6398","1927-10-29",2004,"Male",25,"ostatni","ano",1
"6405","1962-03-25",NA,"Male",22,"ostatni","ano",0
"7473","1932-04-27",1993,"Male",20,"do_22","ano",1
"7474","1955-06-09",NA,"Male",17,"do_22","ne",0
"7475","1936-06-26",NA,"Male",24,"ostatni","ne",0
"7476","1914-02-26",1994,"Male",22,"ostatni","ne",1
"7477","1971-04-14",NA,"Male",21,"do_22","ano",0
"7478","1942-04-04",NA,"Male",18,"do_22","ne",0
"7479","1949-08-26",NA,"Male",19,"do_22","ano",0
"7480","1965-05-08",NA,"Male",23,"ostatni","ne",0
"7481","1941-12-31",NA,"Male",19,"do_22","ne",0
"7482","1912-09-13",1985,"Male",20,"do_22","ano",1
"7483","1884-12-25",1925,"Male",20,"do_22","ano",1
"7484","1929-03-27",1974,"Male",23,"ostatni","ne",1
"7485","1960-12-22",NA,"Male",24,"ostatni","ano",0
"7486","1950-08-24",NA,"Male",22,"ostatni","ne",0
"7487","1928-02-23",2016,"Male",20,"do_22","ne",1
"7488","1967-08-10",NA,"Male",21,"do_22","ano",0
"7489","1930-11-30",1997,"Male",26,"ostatni","ano",1
"7490","1903-03-16",1972,"Male",21,"do_22","ano",1
"7491","1963-05-11",NA,"Male",21,"do_22","ano",0
"7492","1933-08-04",NA,"Male",19,"do_22","ano",0
"7493","1939-07-28",NA,"Male",25,"ostatni","ano",0
"7494","1935-05-16",NA,"Male",17,"do_22","ne",0
"7495","1885-01-15",1928,"Male",19,"do_22","ano",1
"7496","1952-02-14",NA,"Male",20,"do_22","ne",0
"7497","1970-08-15",NA,"Male",22,"ostatni","ano",0
"7498","1938-01-07",1961,"Male",22,"ostatni","ne",1
"7499","1967-09-17",NA,"Male",21,"do_22","ano",0
"7500","1938-09-04",1967,"Male",26,"ostatni","ano",1
"7501","1949-12-08",NA,"Male",23,"ostatni","ano",0
"7502","1895-11-07",NA,"Male",25,"ostatni","ne",0
"7503","1976-05-14",NA,"Male",20,"do_22","ano",0
"7504","1936-10-07",NA,"Male",28,"26+","ne",0
"7505","1899-10-08",1988,"Male",21,"do_22","ne",1
"7506","1942-01-17",2016,"Male",18,"do_22","ano",1
"7507","1965-12-14",NA,"Male",31,"26+","ne",0
"7508","1900-11-13",1965,"Male",20,"do_22","ano",1
"7509","1898-09-08",1973,"Male",22,"ostatni","ne",1
"7510","1929-04-19",2005,"Male",31,"26+","ano",1
"7511","1955-03-14",NA,"Male",21,"do_22","ne",0
"7512","1909-08-26",1963,"Male",19,"do_22","ano",1
"7513","1941-08-04",NA,"Male",19,"do_22","ano",0
"7514","1956-02-14",2015,"Male",20,"do_22","ano",1
"7515","1901-08-26",1966,"Male",19,"do_22","ano",1
"7516","1973-02-04",NA,"Male",19,"do_22","ano",0
"7517","1955-03-14",NA,"Male",17,"do_22","ne",0
"7518","1909-05-18",1998,"Male",19,"do_22","ano",1
"7519","1976-06-07",NA,"Male",20,"do_22","ne",0
"7520","1967-01-06",NA,"Male",25,"ostatni","ne",0
"7521","1898-04-26",1967,"Male",22,"ostatni","ano",1
"7522","1878-05-27",1950,"Male",26,"ostatni","ne",1
"7523","1944-01-12",NA,"Male",20,"do_22","ne",0
"7524","1965-12-16",NA,"Male",23,"ostatni","ano",0
"7525","1898-04-02",1965,"Male",22,"ostatni","ne",1
"7526","1912-04-10",1994,"Male",20,"do_22","ano",1
"7527","1903-01-12",1983,"Male",21,"do_22","ano",1
"7528","1908-02-09",1987,"Male",16,"do_22","ano",1
"7529","1909-10-25",1976,"Male",23,"ostatni","ano",1
"7530","1949-01-10",NA,"Male",19,"do_22","ano",0
"7531","1971-02-12",2009,"Male",21,"do_22","ne",1
"7532","1967-08-27",NA,"Male",21,"do_22","ne",0
"7533","1944-01-12",2011,"Male",20,"do_22","ano",1
"7534","1940-11-29",NA,"Male",24,"ostatni","ne",0
"7535","1902-06-02",1969,"Male",22,"ostatni","ne",1
"7536","1928-06-26",2014,"Male",24,"ostatni","ne",1
"7537","1942-04-17",1993,"Male",22,"ostatni","ne",1
"7538","1887-05-22",1969,"Male",17,"do_22","ano",1
"7539","1964-04-18",NA,"Male",20,"do_22","ano",0
"7540","1947-01-28",NA,"Male",21,"do_22","ne",0
"7541","1967-05-11",NA,"Male",21,"do_22","ano",0
"7542","1899-10-26",1954,"Male",25,"ostatni","ne",1
"7543","1967-11-03",NA,"Male",25,"ostatni","ne",0
"7544","1970-06-06",NA,"Male",22,"ostatni","ne",0
"7545","1973-07-11",NA,"Male",23,"ostatni","ne",0
"7546","1905-01-01",1941,"Male",19,"do_22","ne",1
"7547","1908-12-27",2001,"Male",20,"do_22","ano",1
"7548","1883-01-06",1939,"Male",21,"do_22","ano",1
"7549","1947-02-08",1980,"Male",17,"do_22","ano",1
"7550","1948-09-03",NA,"Male",20,"do_22","ano",0
"7551","1899-03-10",1974,"Male",21,"do_22","ne",1
"7552","1904-10-12",1976,"Male",24,"ostatni","ne",1
"7553","1922-06-19",1999,"Male",26,"ostatni","ano",1
"7554","1964-01-18",NA,"Male",20,"do_22","ano",0
"7555","1912-07-30",1966,"Male",20,"do_22","ne",1
"7556","1962-10-19",NA,"Male",22,"ostatni","ano",0
"7557","1954-05-20",NA,"Male",22,"ostatni","ne",0
"7558","1880-10-02",1944,"Male",24,"ostatni","ne",1
"7559","1966-02-16",NA,"Male",22,"ostatni","ne",0
