"","born","Died","sex","age_at_debut","ad_cat","mamed","delta"
"73122","1914-11-18",1967,"Female",22,"ostatni","ne",1
"73123","1912-08-26",1982,"Female",20,"do_22","ne",1
"73125","1965-04-23",NA,"Female",27,"26+","ano",0
"73126","1924-06-20",NA,"Female",28,"26+","ne",0
"73132","1933-12-22",2001,"Female",23,"ostatni","ne",1
"73140","1966-02-04",NA,"Female",26,"ostatni","ne",0
"73141","1943-03-29",NA,"Female",21,"do_22","ne",0
"73149","1947-06-14",NA,"Female",21,"do_22","ne",0
"73150","1969-09-27",NA,"Female",25,"ostatni","ne",0
"73159","1975-06-23",NA,"Female",19,"do_22","ano",0
"73169","1908-12-28",1977,"Female",28,"26+","ne",1
"73174","1965-03-06",NA,"Female",23,"ostatni","ne",0
"73183","1971-07-12",NA,"Female",21,"do_22","ano",0
"73197","1950-10-14",NA,"Female",22,"ostatni","ano",0
"73198","1959-08-04",NA,"Female",29,"26+","ne",0
"73206","1965-04-12",NA,"Female",19,"do_22","ne",0
"73222","1975-09-24",NA,"Female",17,"do_22","ano",0
"73231","1965-03-24",NA,"Female",27,"26+","ne",0
"73245","1900-05-28",1964,"Male",24,"ostatni","ano",1
"73303","1982-04-17",NA,"Female",18,"do_22","ne",0
"73304","1976-03-04",NA,"Male",24,"ostatni","ano",0
"73561","1953-08-21",NA,"Male",23,"ostatni","ne",0
"73576","1948-06-20",NA,"Male",24,"ostatni","ano",0
"73577","1960-11-10",NA,"Male",24,"ostatni","ne",0
"73590","1939-07-12",2016,"Male",21,"do_22","ne",1
"73604","1965-03-20",NA,"Male",27,"26+","ne",0
"73614","1964-03-07",NA,"Male",24,"ostatni","ne",0
"73621","1949-02-08",NA,"Male",15,"do_22","ano",0
"73623","1953-12-20",NA,"Male",23,"ostatni","ne",0
"73666","1905-03-07",1993,"Male",27,"26+","ne",1
"73676","1953-08-06",NA,"Male",23,"ostatni","ne",0
"73677","1908-10-15",1989,"Male",24,"ostatni","ano",1
"73694","1933-02-01",2016,"Male",23,"ostatni","ano",1
"73767","1960-08-06",NA,"Male",24,"ostatni","ne",0
"73805","1929-01-10",2010,"Male",23,"ostatni","ano",1
"73848","1901-06-13",1978,"Male",31,"26+","ne",1
"73854","1901-08-29",1972,"Male",27,"26+","ano",1
"73865","1926-12-21",2012,"Male",22,"ostatni","ne",1
"73866","1956-11-29",NA,"Male",24,"ostatni","ano",0
"73868","1946-11-20",NA,"Male",22,"ostatni","ne",0
"73876","1940-06-23",1991,"Male",24,"ostatni","ne",1
"73911","1959-05-06",NA,"Male",29,"26+","ne",0
